Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
53.08905692230586,0.2516270080897768,53.20045994633959,0.25061438530683516,0.9999940994177305,1388,0,1221,0
53.08905692230586,0.2310283112981047,53.20045994633959,0.22943281038449362,1.0,1388,0,1221,0
99.90141317321797,0.16327629230234786,100.0,0.16113607179639594,1.0,1388,0,0,1221
99.93427544881199,0.1171861422287888,100.0,0.11557396207794998,1.0,1388,0,0,1221
99.93427544881199,0.10484780871761759,100.0,0.10346523615030143,1.0,1388,0,0,1221
99.93427544881199,0.0954826428888313,100.0,0.09424645840017884,1.0,1388,0,0,1221
99.93427544881199,0.08875130596312056,100.0,0.08765792148187757,1.0,1388,0,0,1221
100.0,0.08139488320232922,99.9616711383672,0.08057200989207706,0.9999999999999999,1387,1,0,1221
100.0,0.07480098424519764,99.9616711383672,0.0741813462227583,1.0,1387,1,0,1221
100.0,0.07125066000600341,99.9616711383672,0.07070089736953378,0.9999999999999999,1387,1,0,1221
100.0,0.06794316011517407,99.9616711383672,0.06745699374005198,1.0,1387,1,0,1221
100.0,0.06485398141762123,99.9616711383672,0.06442731618881226,1.0,1387,1,0,1221
100.0,0.061885547447739435,99.9616711383672,0.06150709750021205,1.0,1387,1,0,1221
100.0,0.05912308288799954,99.9616711383672,0.0587753017898649,1.0,1387,1,0,1221
100.0,0.0565169024847782,99.9616711383672,0.05621222275144914,1.0,1387,1,0,1221
100.0,0.05406200486486897,99.9616711383672,0.053810753393918276,1.0,1387,1,0,1221
100.0,0.05184899317911687,99.9616711383672,0.05162258818745613,1.0,1387,1,0,1221
100.0,0.049745373003447384,99.9616711383672,0.04955958481878042,1.0,1387,1,0,1221
100.0,0.047783345685989596,99.9616711383672,0.047607626067474484,1.0,1387,1,0,1221
100.0,0.045911500560051804,99.9616711383672,0.04576667561195791,1.0,1387,1,0,1221
100.0,0.04413845148727155,99.9616711383672,0.04402445605956018,1.0,1387,1,0,1221
100.0,0.04247244453965709,99.9616711383672,0.042374148266389966,1.0,1387,1,0,1221
100.0,0.040895524354482626,99.9616711383672,0.040805163560435176,1.0,1387,1,0,1221
100.0,0.03938928042252915,99.9616711383672,0.03932693786919117,1.0,1387,1,0,1221
100.0,0.037964452178585656,99.9616711383672,0.03792159352451563,1.0,1387,1,0,1221
100.0,0.03661687745683011,99.9616711383672,0.03657990414649248,0.9999999999999999,1387,1,0,1221
100.0,0.03531656920476203,99.9616711383672,0.03530866117216647,0.9999999999999999,1387,1,0,1221
100.0,0.03409392833575053,99.9616711383672,0.03409574506804347,1.0,1387,1,0,1221
100.0,0.03292725667280319,99.9616711383672,0.03293834230862558,1.0,1387,1,0,1221
100.0,0.03180237996714533,99.9616711383672,0.031839059200137854,1.0,1387,1,0,1221
100.0,0.03074315769847781,99.9616711383672,0.030788922333158553,1.0,1387,1,0,1221
100.0,0.029736389318876504,99.9616711383672,0.029782698838971555,1.0,1387,1,0,1221
100.0,0.02876737256079295,99.9616711383672,0.028828792739659548,1.0,1387,1,0,1221
100.0,0.02783286652706485,99.9616711383672,0.027911679353564978,1.0,1387,1,0,1221
100.0,0.026950211507697337,99.9616711383672,0.02703269280027598,1.0,1387,1,0,1221
100.0,0.026099803094856804,99.9616711383672,0.026193267898634076,1.0,1387,1,0,1221
100.0,0.025287734556161515,99.9616711383672,0.025389710208401084,1.0,1387,1,0,1221
100.0,0.024506890340576595,99.9616711383672,0.02462141856085509,1.0,1387,1,0,1221
100.0,0.02376194132615592,99.9616711383672,0.02388411818537861,0.9999999999999998,1387,1,0,1221
100.0,0.023047303331817242,99.9616711383672,0.023174758767709136,1.0,1387,1,0,1221
100.0,0.022362499285199792,99.9616711383672,0.022493285592645407,1.0,1387,1,0,1221
100.0,0.02169882045096081,99.9616711383672,0.02183908794540912,1.0,1387,1,0,1221
100.0,0.02106647125032592,99.9616711383672,0.021212215651758015,1.0,1387,1,0,1221
100.0,0.02045992646827581,99.9616711383672,0.020590847823768854,1.0,1387,1,0,1221
100.0,0.01987185892032296,99.9616711383672,0.020028300234116614,1.0,1387,1,0,1221
100.0,0.019304451173163137,99.9616711383672,0.019471914507448673,0.9999999999999999,1387,1,0,1221
100.0,0.018764505121096994,99.9616711383672,0.018933546380139887,1.0,1387,1,0,1221
100.0,0.01824046146649331,99.9616711383672,0.018410306191071868,1.0,1387,1,0,1221
100.0,0.017742730129214516,99.9616711383672,0.017916039330884814,1.0,1387,1,0,1221
100.0,0.017252792109110345,99.9616711383672,0.01743680879008025,0.9999999999999999,1387,1,0,1221
