Date,Model,Recall,Specificity
1/1/2020,SS 5050 T1  ,0.14,0.76
1/1/2020,TS 5050 FS T1  ,0.52,0.81
1/1/2020,TS 5050 FS T2  ,0.25,0.7
1/1/2020,TS 5050 T1  ,0.12,0.85
1/1/2020,TS 5050 T2  ,0.28,0.72
1/2/2020,SS 5050 T1  ,0.47,0.67
1/2/2020,TS 5050 FS T1  ,0.49,0.9
1/2/2020,TS 5050 FS T2  ,0.48,0.78
1/2/2020,TS 5050 T1  ,0.35,0.83
1/2/2020,TS 5050 T2  ,0.59,0.7
1/3/2020,SS 5050 T1  ,0.48,0.64
1/3/2020,TS 5050 FS T1  ,0.58,0.87
1/3/2020,TS 5050 FS T2  ,0.45,0.77
1/3/2020,TS 5050 T1  ,0.39,0.84
1/3/2020,TS 5050 T2  ,0.63,0.68
1/4/2020,SS 5050 T1  ,0.72,0.64
1/4/2020,TS 5050 FS T1  ,0.66,0.81
1/4/2020,TS 5050 FS T2  ,0.53,0.65
1/4/2020,TS 5050 T1  ,0.22,0.74
1/4/2020,TS 5050 T2  ,0.53,0.67
1/5/2020,SS 5050 T1  ,0.1,0.67
1/5/2020,TS 5050 FS T1  ,0.77,0.86
1/5/2020,TS 5050 FS T2  ,0.26,0.68
1/5/2020,TS 5050 T1  ,0.1,0.9
1/5/2020,TS 5050 T2  ,0.26,0.71
1/6/2020,SS 5050 T1  ,0.51,0.76
1/6/2020,TS 5050 FS T1  ,0.62,0.85
1/6/2020,TS 5050 FS T2  ,0.32,0.82
1/6/2020,TS 5050 T1  ,0.34,0.88
1/6/2020,TS 5050 T2  ,0.45,0.82
1/7/2020,SS 5050 T1  ,0.51,0.71
1/7/2020,TS 5050 FS T1  ,0.57,0.83
1/7/2020,TS 5050 FS T2  ,0.4,0.78
1/7/2020,TS 5050 T1  ,0.25,0.84
1/7/2020,TS 5050 T2  ,0.31,0.8
1/1/2020,SS 7525 FS T1 ,0.18,0.95
1/1/2020,SS 7525 T1 ,0.22,0.93
1/1/2020,TS 7525 FS T1 ,0.26,0.96
1/1/2020,TS 7525 T1 ,0.05,0.96
1/1/2020,TS 7525 T2 ,0.22,0.91
1/2/2020,SS 7525 FS T1 ,0.43,0.96
1/2/2020,SS 7525 T1 ,0.13,0.89
1/2/2020,TS 7525 FS T1 ,0.41,0.98
1/2/2020,TS 7525 T1 ,0.09,0.95
1/2/2020,TS 7525 T2 ,0.06,0.99
1/3/2020,SS 7525 FS T1 ,0.29,0.97
1/3/2020,SS 7525 T1 ,0.16,0.87
1/3/2020,TS 7525 FS T1 ,0.18,0.98
1/3/2020,TS 7525 T1 ,0.11,0.85
1/3/2020,TS 7525 T2 ,0.04,0.99
1/4/2020,SS 7525 FS T1 ,0.38,0.96
1/4/2020,SS 7525 T1 ,0.05,0.93
1/4/2020,TS 7525 FS T1 ,0.03,0.93
1/4/2020,TS 7525 T1 ,0.33,0.84
1/4/2020,TS 7525 T2 ,0.1,1
1/5/2020,SS 7525 FS T1 ,0.36,0.95
1/5/2020,SS 7525 T1 ,0.11,0.93
1/5/2020,TS 7525 FS T1 ,0.2,0.91
1/5/2020,TS 7525 T1 ,0.53,0.76
1/5/2020,TS 7525 T2 ,0.12,0.99
1/6/2020,SS 7525 FS T1 ,0.39,0.96
1/6/2020,SS 7525 T1 ,0,1
1/6/2020,TS 7525 FS T1 ,0.32,0.89
1/6/2020,TS 7525 T1 ,0.29,0.78
1/6/2020,TS 7525 T2 ,0.08,0.99
1/7/2020,SS 7525 FS T1 ,0.03,0.93
1/7/2020,SS 7525 T1 ,0.01,0.99
1/7/2020,TS 7525 FS T1 ,0.19,0.87
1/7/2020,TS 7525 T1 ,0.46,0.88
1/7/2020,TS 7525 T2 ,0.03,0.99
1/1/2020,SS No T1 ,0.01,0.96
1/1/2020,TS No FS T1 ,0.02,0.95
1/1/2020,TS No FS T2 ,0.01,1
1/1/2020,TS No T1 ,0.01,0.99
1/1/2020,TS No T2 ,0.3,0.95
1/2/2020,SS No T1 ,0.02,0.95
1/2/2020,TS No FS T1 ,0.31,0.86
1/2/2020,TS No FS T2 ,0.01,0.99
1/2/2020,TS No T1 ,0.09,0.94
1/2/2020,TS No T2 ,0.27,0.91
1/3/2020,SS No T1 ,0.03,1
1/3/2020,TS No FS T1 ,0.11,0.91
1/3/2020,TS No FS T2 ,0.05,0.99
1/3/2020,TS No T1 ,0.05,0.96
1/3/2020,TS No T2 ,0.26,0.89
1/4/2020,SS No T1 ,0.01,1
1/4/2020,TS No FS T1 ,0.14,0.92
1/4/2020,TS No FS T2 ,0.03,1
1/4/2020,TS No T1 ,0.07,0.98
1/4/2020,TS No T2 ,0.02,0.98
1/5/2020,SS No T1 ,0.11,0.95
1/5/2020,TS No FS T1 ,0.05,0.96
1/5/2020,TS No FS T2 ,0.01,1
1/5/2020,TS No T1 ,0.29,0.96
1/5/2020,TS No T2 ,0.03,0.96
1/6/2020,SS No T1 ,0.03,0.99
1/6/2020,TS No FS T1 ,0.03,0.96
1/6/2020,TS No FS T2 ,0.03,0.95
1/6/2020,TS No T1 ,0.19,0.92
1/6/2020,TS No T2 ,0.06,1
1/7/2020,SS No T1 ,0.1,1
1/7/2020,TS No FS T1 ,0,1
1/7/2020,TS No FS T2 ,0.02,1
1/7/2020,TS No T1 ,0.1,0.97
1/7/2020,TS No T2 ,0,1
